TYPE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude,HOUR,MINUTE,YEAR,MONTH,DAY,Date,TIME_OF_DAY,Month_Name,Coordinates
Theft of Bicycle,6XX W 7TH AVE,Fairview,491446.6,5456919.1,49.26498,-123.11757,19,0,2011,7,18,07/18/2011,Night,July,"49.26497506, -123.1175659"
Break and Enter Commercial,30XX MAIN ST,Mount Pleasant,492641.3,5456093.8,49.25757,-123.10113,3,0,2009,4,13,04/13/2009,Night,April,"49.25756642, -123.1011307"
Mischief,15XX E HASTINGS ST,Grandview-Woodland,494614.8,5458726.5,49.28127,-123.07404,2,8,1999,5,18,05/18/1999,Day,May,"49.28126842, -123.074044"
Theft from Vehicle,8XX BURRARD ST,West End,491012.1,5458904.9,49.28283,-123.12358,14,55,2002,12,26,12/26/2002,Evening,December,"49.28283125, -123.1235833"
Theft from Vehicle,29XX GRANVILLE ST,Fairview,489910.5,5456332.2,49.25967,-123.13867,10,0,2006,3,1,03/01/2006,Night,March,"49.25967228, -123.138666"
Theft of Vehicle,25XX E PENDER ST,Hastings-Sunrise,496122.6,5458605.2,49.28019,-123.05331,21,0,2002,6,10,06/10/2002,Night,June,"49.28018936, -123.0533108"
Theft of Bicycle,E 1ST AVE / MAIN ST,Mount Pleasant,492671.8,5457490.2,49.27013,-123.10074,19,49,2011,9,10,09/10/2011,Evening,September,"49.27012821, -123.1007362"
Theft from Vehicle,GRANVILLE ST / W 71ST AVE,Marpole,489759.9,5450484.7,49.20707,-123.14059,13,0,2003,9,21,09/21/2003,Night,September,"49.20706976, -123.1405857"
Other Theft,45XX W 10TH AVE,West Point Grey,484625.8,5456815.5,49.26391,-123.21131,21,56,2006,6,23,06/23/2006,Evening,June,"49.26390955, -123.2113141"
Theft from Vehicle,8XX AVISON WAY,Stanley Park,490531.0,5460905.9,49.30082,-123.13025,14,0,2000,8,7,08/07/2000,Night,August,"49.30082343, -123.1302463"
Theft from Vehicle,23XX KINGSWAY AVE,Renfrew-Collingwood,495880.1,5454263.0,49.24113,-123.05660,3,0,2002,7,22,07/22/2002,Night,July,"49.24112808, -123.0566005"
Theft from Vehicle,E 5TH AVE / SCOTIA ST,Mount Pleasant,492810.9,5457071.7,49.26636,-123.09882,23,0,2004,8,24,08/24/2004,Night,August,"49.26636456, -123.0988172"
Theft from Vehicle,33XX KINGSWAY AVE,Renfrew-Collingwood,497390.5,5453477.3,49.23407,-123.03585,19,15,2010,3,25,03/25/2010,Afternoon,March,"49.23406936, -123.0358456"
Theft from Vehicle,9XX RICHARDS ST,Central Business District,491228.0,5458407.3,49.27836,-123.12060,21,0,1999,3,4,03/04/1999,Night,March,"49.27835821, -123.1206042"
Theft from Vehicle,40XX W 38TH AVE,Dunbar-Southlands,485783.1,5453885.5,49.23758,-123.19530,22,0,2000,6,10,06/10/2000,Night,June,"49.23758143, -123.195303"
Mischief,18XX KINGSWAY AVE,Kensington-Cedar Cottage,495148.6,5454782.3,49.24579,-123.06666,0,46,2009,9,13,09/13/2009,Evening,September,"49.24579403, -123.0666565"
Theft of Bicycle,12XX HOMER ST,Central Business District,491022.3,5458044.2,49.27509,-123.12342,10,0,1999,9,14,09/14/1999,Night,September,"49.275089, -123.123424"
Theft from Vehicle,12XX CARDERO ST,West End,489896.0,5459160.1,49.28511,-123.13894,17,0,1999,1,11,01/11/1999,Night,January,"49.28510947, -123.1389355"
Other Theft,55XX WEST BOULEVARD,Arbutus Ridge,488672.8,5453666.9,49.23568,-123.15560,14,25,1999,3,4,03/04/1999,Evening,March,"49.23567563, -123.1555997"
Other Theft,6XX DENMAN ST,West End,490245.3,5459970.6,49.29241,-123.13415,18,25,2000,11,12,11/12/2000,Evening,November,"49.29240543, -123.1341533"
Mischief,79XX ANGUS DR,Marpole,489192.8,5451265.2,49.21408,-123.14839,15,13,2008,5,11,05/11/2008,Afternoon,May,"49.214081, -123.1483924"
Mischief,77XX NANAIMO ST,Victoria-Fraserview,495680.0,5451280.6,49.21430,-123.05932,17,33,2006,4,6,04/06/2006,Evening,April,"49.21429934, -123.0593177"
Theft from Vehicle,17XX GRANT ST,Grandview-Woodland,494939.1,5457618.4,49.27130,-123.06957,6,25,2001,8,9,08/09/2001,Evening,August,"49.271304, -123.0695707"
Theft of Bicycle,20XX W 4TH AVE,Kitsilano,489050.5,5457264.4,49.26804,-123.15051,22,5,2000,6,25,06/25/2000,Night,June,"49.26804252, -123.1505101"
Break and Enter Commercial,40XX MACDONALD ST,Arbutus Ridge,487790.9,5455303.3,49.25038,-123.16777,2,30,2000,10,5,10/05/2000,Evening,October,"49.25037806, -123.1677653"
Break and Enter Residential/Other,14XX W GEORGIA ST,West End,490628.9,5459632.8,49.28937,-123.12887,15,0,1999,11,16,11/16/1999,Night,November,"49.28937288, -123.1288689"
Mischief,68XX DUMFRIES ST,Victoria-Fraserview,494567.8,5452136.7,49.22199,-123.07460,23,0,1999,4,11,04/11/1999,Night,April,"49.22199188, -123.0746004"
Theft from Vehicle,11XX HOWE ST,Central Business District,490768.1,5458359.5,49.27792,-123.12693,15,18,2006,4,27,04/27/2006,Evening,April,"49.27792183, -123.1269262"
Break and Enter Residential/Other,28XX COLUMBIA ST,Mount Pleasant,492032.0,5456372.4,49.26006,-123.10951,9,30,2009,11,16,11/16/2009,Evening,November,"49.26006494, -123.1095096"
Theft from Vehicle,HAWKS AVE / POWELL ST,Strathcona,493667.4,5458914.9,49.28295,-123.08707,18,15,2004,8,25,08/25/2004,Afternoon,August,"49.28295421, -123.0870729"
Other Theft,7XX ROBSON ST,Central Business District,491218.8,5458800.8,49.28190,-123.12074,11,30,2001,3,15,03/15/2001,Evening,March,"49.28189804, -123.1207383"
Mischief,59XX VICTORIA DR,Victoria-Fraserview,495230.2,5453016.5,49.22991,-123.06551,15,37,2005,12,17,12/17/2005,Evening,December,"49.22991097, -123.0655141"
Theft from Vehicle,10XX ROBSON ST,West End,491058.2,5458959.0,49.28332,-123.12295,18,30,2008,3,12,03/12/2008,Evening,March,"49.28331847, -123.1229502"
Theft of Vehicle,SPRUCE ST / W 11TH AVE,Fairview,490609.2,5456541.1,49.26156,-123.12907,19,30,2003,10,9,10/09/2003,Evening,October,"49.26156205, -123.1290675"
Theft from Vehicle,DRAKE ST / PACIFIC BLVD,Central Business District,490999.2,5457866.4,49.27349,-123.12374,22,0,2003,4,21,04/21/2003,Night,April,"49.27348986, -123.123737"
Break and Enter Commercial,65XX FRASER ST,Sunset,493388.2,5452486.6,49.22513,-123.09081,3,0,2003,7,29,07/29/2003,Night,July,"49.22512754, -123.0908062"
Mischief,2XX ALVIN NAROD MEWS,Central Business District,491275.1,5457982.1,49.27453,-123.11995,6,30,1999,5,12,05/12/1999,Evening,May,"49.27453451, -123.1199472"
Break and Enter Commercial,7XX W GEORGIA ST,Central Business District,491401.3,5458865.3,49.28248,-123.11823,19,0,2004,8,21,08/21/2004,Night,August,"49.28248082, -123.1182307"
Theft from Vehicle,DRAKE ST / HOWE ST,Central Business District,490632.5,5458230.1,49.27676,-123.12879,19,0,2011,4,30,04/30/2011,Night,April,"49.27675517, -123.1287865"
Other Theft,44XX DUNBAR ST,Dunbar-Southlands,486521.4,5454866.9,49.24643,-123.18519,14,56,2008,2,1,02/01/2008,Evening,February,"49.24642583, -123.1851944"
Mischief,6XX E 63RD AVE,Sunset,493226.0,5451157.6,49.21317,-123.09301,14,20,2006,9,21,09/21/2006,Evening,September,"49.21317116, -123.0930113"
Other Theft,11XX ROBSON ST,West End,490887.9,5459140.6,49.28495,-123.12530,20,1,2009,7,6,07/06/2009,Night,July,"49.28494939, -123.1252969"
Theft from Vehicle,5XX DENMAN ST,Central Business District,490353.0,5460067.2,49.29328,-123.13267,10,0,1999,3,7,03/07/1999,Night,March,"49.2932758, -123.1326738"
Theft of Vehicle,60XX FRASER ST,Sunset,493406.1,5452940.3,49.22921,-123.09057,17,0,2000,1,12,01/12/2000,Night,January,"49.22920906, -123.0905681"
Theft from Vehicle,9XX JERVIS ST,West End,490516.6,5459225.0,49.28570,-123.13040,1,24,2011,3,26,03/26/2011,Evening,March,"49.28570329, -123.1304042"
Other Theft,8XX BURRARD ST,West End,491046.8,5458939.4,49.28314,-123.12311,20,56,2011,4,25,04/25/2011,Evening,April,"49.28314173, -123.1231076"
Theft from Vehicle,14XX E 13TH AVE,Kensington-Cedar Cottage,494581.1,5456224.3,49.25876,-123.07447,20,0,2009,6,30,06/30/2009,Night,June,"49.25876028, -123.0744734"
Mischief,56XX SENLAC ST,Renfrew-Collingwood,497557.5,5453305.1,49.23252,-123.03355,23,30,2008,9,23,09/23/2008,Evening,September,"49.23252089, -123.0335497"
Mischief,14XX CAROLINA ST,Strathcona,493523.7,5457704.9,49.27207,-123.08903,8,45,2007,12,8,12/08/2007,Evening,December,"49.272069, -123.0890302"
Mischief,7XX TERMINAL AVE,Strathcona,493576.0,5457551.2,49.27069,-123.08831,16,30,2007,3,20,03/20/2007,Evening,March,"49.27068672, -123.0883088"
Theft of Vehicle,16XX HORNBY ST,Central Business District,490299.3,5458037.7,49.27502,-123.13336,20,0,1999,8,27,08/27/1999,Night,August,"49.27501993, -123.1333635"
Theft from Vehicle,7XX CHILCO ST,West End,490015.3,5460150.4,49.29402,-123.13732,19,0,2000,2,22,02/22/2000,Night,February,"49.29401931, -123.13732"
Break and Enter Commercial,6XX W 41ST AVE,Oakridge,491372.9,5453422.8,49.23352,-123.11850,15,58,2000,9,28,09/28/2000,Evening,September,"49.23352408, -123.1185036"
Theft from Vehicle,4XX W GEORGIA ST,Central Business District,491614.2,5458653.5,49.28058,-123.11530,23,0,2001,10,1,10/01/2001,Night,October,"49.28057869, -123.1152992"
Break and Enter Commercial,20XX BEACH AVE,West End,489460.5,5459702.3,49.28998,-123.14494,7,30,2001,8,8,08/08/2001,Evening,August,"49.28997865, -123.1449383"
Theft from Vehicle,6XX POWELL ST,Strathcona,493359.1,5458919.7,49.28299,-123.09131,9,33,2000,6,10,06/10/2000,Evening,June,"49.28299393, -123.0913126"
Theft of Vehicle,12XX RICHARDS ST,Central Business District,490959.4,5458124.3,49.27581,-123.12429,22,0,2001,6,5,06/05/2001,Night,June,"49.27580894, -123.1242907"
Break and Enter Commercial,1XX KEEFER ST,Central Business District,492707.1,5458526.8,49.27945,-123.10027,6,40,2006,10,16,10/16/2006,Evening,October,"49.2794523, -123.1002701"
Theft from Vehicle,14XX W 6TH AVE,Fairview,490054.0,5457057.6,49.26620,-123.13671,15,30,2000,10,29,10/29/2000,Evening,October,"49.2661992, -123.1367116"
Vehicle Collision or Pedestrian Struck (with Injury),24XX OXFORD ST,Hastings-Sunrise,495913.0,5459217.0,49.28569,-123.05620,13,20,2008,6,4,06/04/2008,Evening,June,"49.28569097, -123.0561993"
Theft from Vehicle,19XX W 1ST AVE,Kitsilano,489093.2,5457559.4,49.27070,-123.14993,15,56,2001,9,7,09/07/2001,Evening,September,"49.27069686, -123.1499317"
Theft from Vehicle,53XX VINE ST,Arbutus Ridge,488371.3,5453909.2,49.23785,-123.15975,14,0,2000,12,26,12/26/2000,Night,December,"49.2378497, -123.1597488"
Break and Enter Residential/Other,12XX BURNABY ST,West End,490183.3,5458755.8,49.28148,-123.13498,20,0,2002,8,9,08/09/2002,Night,August,"49.2814775, -123.1349753"
Theft of Bicycle,20XX HARO ST,West End,489840.7,5460014.0,49.29279,-123.13972,20,0,2009,8,3,08/03/2009,Night,August,"49.29278887, -123.1397176"
Theft from Vehicle,3XX E HASTINGS ST,Strathcona,492946.2,5458727.7,49.28126,-123.09699,15,0,2008,10,8,10/08/2008,Night,October,"49.28126287, -123.0969863"
Theft from Vehicle,ABBOTT ST / W PENDER ST,Central Business District,492175.4,5458706.9,49.28107,-123.10758,16,0,2001,8,24,08/24/2001,Night,August,"49.28106567, -123.1075836"
Theft from Vehicle,8XX CAMBIE ST,Central Business District,491607.4,5458366.4,49.27800,-123.11539,8,0,2004,9,11,09/11/2004,Night,September,"49.27799555, -123.1153862"
Other Theft,7XX GRANVILLE ST,Central Business District,491394.1,5458844.3,49.28229,-123.11833,18,13,2011,7,25,07/25/2011,Afternoon,July,"49.28229119, -123.1183292"
Mischief,4XX W 13TH AVE,Mount Pleasant,491693.6,5456297.5,49.25939,-123.11416,9,12,2010,8,20,08/20/2010,Afternoon,August,"49.25938651, -123.1141586"
Vehicle Collision or Pedestrian Struck (with Injury),E 24TH AVE / NANAIMO ST,Kensington-Cedar Cottage,495878.0,5455117.0,49.24881,-123.05664,16,3,2010,9,11,09/11/2010,Night,September,"49.24881044, -123.0566384"
Mischief,29XX W 27TH AVE,Dunbar-Southlands,487450.9,5455037.4,49.24798,-123.17243,8,45,2001,3,17,03/17/2001,Evening,March,"49.24797927, -123.1724283"
Theft of Vehicle,12XX W 72ND AVE,Marpole,490278.9,5450325.2,49.20564,-123.13346,21,0,2009,2,7,02/07/2009,Night,February,"49.20564347, -123.1334566"
Break and Enter Residential/Other,16XX W 11TH AVE,Fairview,489605.6,5456560.1,49.26172,-123.14286,8,0,2007,4,5,04/05/2007,Night,April,"49.26171691, -123.1428619"
Theft from Vehicle,10XX BURRARD ST,West End,490806.3,5458701.6,49.28100,-123.12641,14,0,2006,8,31,08/31/2006,Night,August,"49.28099947, -123.1264086"
Theft from Vehicle,4XX MAIN ST,Strathcona,492754.3,5458732.0,49.28130,-123.09962,23,3,2006,11,5,11/05/2006,Night,November,"49.28129876, -123.0996249"
Theft from Vehicle,5XX DENMAN ST,Central Business District,490359.3,5460086.9,49.29345,-123.13259,19,0,2002,1,20,01/20/2002,Night,January,"49.29345302, -123.1325877"
Break and Enter Commercial,36XX W 4TH AVE,Kitsilano,486537.5,5457336.6,49.26864,-123.18506,3,20,2001,8,18,08/18/2001,Evening,August,"49.26864163, -123.1850559"
Break and Enter Commercial,18XX W 4TH AVE,Kitsilano,489311.8,5457257.6,49.26799,-123.14692,0,0,2001,8,20,08/20/2001,Night,August,"49.26798625, -123.146918"
Mischief,13XX ROBSON ST,West End,490644.3,5459371.0,49.28702,-123.12865,21,57,2009,6,22,06/22/2009,Evening,June,"49.2870181, -123.1286518"
Mischief,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494915.9,5456526.2,49.26148,-123.06988,9,30,2005,6,13,06/13/2005,Evening,June,"49.26147908, -123.069876"
Mischief,13XX HOMER ST,Central Business District,490883.9,5457916.5,49.27394,-123.12532,17,30,2003,5,30,05/30/2003,Evening,May,"49.27393844, -123.1253236"
Theft of Bicycle,22XX W 10TH AVE,Kitsilano,488596.1,5456691.1,49.26288,-123.15674,17,0,2005,9,3,09/03/2005,Night,September,"49.2628772, -123.1567398"
Break and Enter Commercial,45XX W 10TH AVE,West Point Grey,484770.3,5456802.7,49.26380,-123.20933,9,42,2009,10,21,10/21/2009,Evening,October,"49.26379794, -123.2093277"
Break and Enter Residential/Other,15XX W 33RD AVE,Shaughnessy,489746.9,5454352.4,49.24186,-123.14086,21,0,2005,5,30,05/30/2005,Night,May,"49.24186096, -123.1408636"
Theft from Vehicle,22XX LAUREL ST,Fairview,490975.6,5456948.9,49.26524,-123.12404,18,0,2008,5,6,05/06/2008,Night,May,"49.26523581, -123.1240405"
Theft from Vehicle,8XX AVISON WAY,Stanley Park,490531.0,5460905.9,49.30082,-123.13025,13,0,2010,3,30,03/30/2010,Night,March,"49.30082343, -123.1302463"
Theft from Vehicle,BURRARD ST / W HASTINGS ST,Central Business District,491494.5,5459386.9,49.28717,-123.11696,12,30,2000,12,22,12/22/2000,Evening,December,"49.28717382, -123.11696"
Break and Enter Residential/Other,36XX WELLINGTON AVE,Renfrew-Collingwood,498188.2,5453909.5,49.23796,-123.02489,4,0,1999,2,11,02/11/1999,Night,February,"49.23795954, -123.0248895"
Other Theft,9XX W KING EDWARD AVE,South Cambie,490745.3,5455154.5,49.24909,-123.12717,18,22,2005,1,14,01/14/2005,Evening,January,"49.24909148, -123.1271652"
Theft from Vehicle,33XX W 30TH AVE,Dunbar-Southlands,486884.4,5454724.5,49.24515,-123.18020,17,0,2008,4,19,04/19/2008,Night,April,"49.24515271, -123.1802025"
Break and Enter Residential/Other,3XX W 15TH AVE,Mount Pleasant,491884.0,5456119.8,49.25779,-123.11154,20,31,2004,9,7,09/07/2004,Evening,September,"49.25779098, -123.1115386"
Theft from Vehicle,5XX CAMBIE ST,Central Business District,491996.5,5458753.0,49.28148,-123.11004,9,0,1999,7,21,07/21/1999,Night,July,"49.28147839, -123.1100445"
Break and Enter Commercial,3XX E 15TH AVE,Mount Pleasant,492969.9,5456075.3,49.25740,-123.09661,20,0,2005,7,26,07/26/2005,Night,July,"49.25740405, -123.0966139"
Theft of Bicycle,5XX BEATTY ST,Central Business District,492079.7,5458685.1,49.28087,-123.10890,14,0,2008,10,3,10/03/2008,Night,October,"49.28086906, -123.1088999"
Theft of Vehicle,25XX TURNER ST,Hastings-Sunrise,496139.4,5458479.8,49.27906,-123.05308,17,0,2006,7,13,07/13/2006,Night,July,"49.27906075, -123.0530793"
Mischief,33XX PRICE ST,Renfrew-Collingwood,497633.7,5454508.1,49.24334,-123.03251,7,0,2004,3,13,03/13/2004,Night,March,"49.24334211, -123.0325109"
Vehicle Collision or Pedestrian Struck (with Injury),SMITHE ST / BURRARD ST,West End,490950.0,5458837.0,49.28222,-123.12444,5,21,2008,5,29,05/29/2008,Evening,May,"49.28221947, -123.1244356"
Break and Enter Commercial,29XX E HASTINGS ST,Hastings-Sunrise,496816.3,5458716.8,49.28120,-123.04377,23,58,2009,10,4,10/04/2009,Evening,October,"49.28119696, -123.0437749"
Theft from Vehicle,35XX QUADRA ST,Dunbar-Southlands,486962.6,5455876.6,49.25552,-123.17916,12,0,2009,12,8,12/08/2009,Night,December,"49.25551782, -123.1791646"
Theft from Vehicle,59XX ALMA ST,Dunbar-Southlands,486401.8,5453337.5,49.23267,-123.18679,9,0,2010,1,15,01/15/2010,Night,January,"49.23266593, -123.186786"
Theft of Vehicle,57XX MAPLE ST,Kerrisdale,488934.0,5453533.7,49.23448,-123.15201,1,0,2000,2,15,02/15/2000,Night,February,"49.23448216, -123.1520088"
Mischief,6XX W 41ST AVE,South Cambie,491322.5,5453448.7,49.23376,-123.11920,3,34,2004,5,19,05/19/2004,Evening,May,"49.23375617, -123.1191966"
Mischief,45XX MAIN ST,Riley Park,492621.0,5454613.4,49.24425,-123.10138,22,8,2000,10,30,10/30/2000,Day,October,"49.24424993, -123.1013826"
Break and Enter Residential/Other,47XX RUPERT ST,Renfrew-Collingwood,497358.6,5454389.5,49.24227,-123.03629,22,16,2002,12,11,12/11/2002,Afternoon,December,"49.24227433, -123.036289"
Vehicle Collision or Pedestrian Struck (with Injury),CLARK DR / E BROADWAY AVE,Kensington-Cedar Cottage,494362.0,5456628.0,49.26239,-123.07749,13,40,2011,8,15,08/15/2011,Evening,August,"49.26239011, -123.0774903"
Mischief,13XX W 11TH AVE,Fairview,490231.2,5456544.7,49.26159,-123.13426,0,0,2005,3,21,03/21/2005,Night,March,"49.26158879, -123.1342635"
Vehicle Collision or Pedestrian Struck (with Injury),W HASTINGS ST / GRANVILLE ST,Central Business District,491720.0,5459179.0,49.28531,-123.11386,23,50,2008,8,9,08/09/2008,Evening,August,"49.28530673, -123.1138554"
Break and Enter Residential/Other,19XX E 7TH AVE,Grandview-Woodland,495264.3,5456817.9,49.26411,-123.06509,10,30,2000,11,17,11/17/2000,Evening,November,"49.26410622, -123.0650905"
Other Theft,7XX GRANVILLE ST,Central Business District,491398.9,5458862.0,49.28245,-123.11826,12,41,2002,2,20,02/20/2002,Evening,February,"49.28245092, -123.1182643"
Theft from Vehicle,12XX W 14TH AVE,Fairview,490419.1,5456229.6,49.25876,-123.13167,21,0,1999,6,23,06/23/1999,Night,June,"49.25875711, -123.1316725"
Vehicle Collision or Pedestrian Struck (with Injury),X STANLEY PARK CSWY,Stanley Park,490055.0,5460210.0,49.29456,-123.13678,9,57,2006,4,24,04/24/2006,Evening,April,"49.29455589, -123.1367758"
Other Theft,5XX W HASTINGS ST,Central Business District,491827.1,5459079.6,49.28441,-123.11238,12,16,2011,12,10,12/10/2011,Afternoon,December,"49.2844136, -123.1123809"
Theft from Vehicle,6XX MOBERLY RD,Fairview,491419.1,5457321.0,49.26859,-123.11795,0,0,2000,4,28,04/28/2000,Night,April,"49.26858912, -123.1179532"
Other Theft,7XX W GEORGIA ST,Central Business District,491407.7,5458871.8,49.28254,-123.11814,15,52,2009,12,12,12/12/2009,Evening,December,"49.28253947, -123.1181426"
Vehicle Collision or Pedestrian Struck (with Injury),9XX E HASTINGS ST,Strathcona,493861.0,5458701.0,49.28103,-123.08441,12,30,2001,4,7,04/07/2001,Evening,April,"49.2810323, -123.0844079"
Vehicle Collision or Pedestrian Struck (with Injury),W 15TH AVE / TRUTCH ST,Kitsilano,487185.0,5456238.0,49.25877,-123.17612,11,51,1999,5,15,05/15/1999,Evening,May,"49.25877373, -123.1761201"
Theft from Vehicle,MAIN ST / TERMINAL AVE,Mount Pleasant,492718.3,5457784.6,49.27278,-123.10010,16,0,2011,5,13,05/13/2011,Night,May,"49.2727764, -123.1001034"
Break and Enter Residential/Other,33XX E 4TH AVE,Hastings-Sunrise,497579.6,5457101.9,49.26667,-123.03327,13,15,2007,4,18,04/18/2007,Afternoon,April,"49.2666744, -123.0332697"
Other Theft,10XX ROBSON ST,West End,490931.1,5459097.5,49.28456,-123.12470,19,28,2004,12,11,12/11/2004,Evening,December,"49.28456261, -123.1247019"
Theft from Vehicle,17XX NELSON ST,West End,489995.2,5459563.6,49.28874,-123.13758,11,30,2003,8,14,08/14/2003,Evening,August,"49.28874037, -123.1375821"
Mischief,13XX MAIN ST,Central Business District,492714.4,5457808.2,49.27299,-123.10016,14,45,1999,10,11,10/11/1999,Evening,October,"49.27298918, -123.1001569"
Mischief,7X W HASTINGS ST,Central Business District,492259.0,5458790.6,49.28182,-123.10644,6,51,2003,6,17,06/17/2003,Evening,June,"49.28181972, -123.1064357"
Theft from Vehicle,15XX E 49TH AVE,Victoria-Fraserview,494577.4,5452496.2,49.22523,-123.07447,17,0,2000,1,9,01/09/2000,Night,January,"49.22522513, -123.0744742"
Mischief,26XX E 49TH AVE,Victoria-Fraserview,496023.7,5452443.5,49.22476,-123.05461,1,5,2002,5,6,05/06/2002,Night,May,"49.22476281, -123.0546106"
Other Theft,69XX VICTORIA DR,Victoria-Fraserview,495208.1,5452046.5,49.22119,-123.06581,15,30,2007,7,21,07/21/2007,Evening,July,"49.22118558, -123.0658059"
Other Theft,6XX GRANVILLE ST,Central Business District,491445.9,5458896.4,49.28276,-123.11762,11,49,2007,11,30,11/30/2007,Evening,November,"49.28276102, -123.1176182"
Theft from Vehicle,19XX BLENHEIM ST,Kitsilano,487080.7,5457414.4,49.26935,-123.17759,18,0,2000,9,15,09/15/2000,Night,September,"49.26935308, -123.1775912"
Break and Enter Residential/Other,32XX W 38TH AVE,Dunbar-Southlands,487121.9,5453888.1,49.23763,-123.17691,9,30,1999,1,6,01/06/1999,Evening,January,"49.23763471, -123.1769123"
Mischief,15XX E PENDER ST,Grandview-Woodland,494618.4,5458626.0,49.28036,-123.07399,18,0,2008,1,12,01/12/2008,Night,January,"49.2803648, -123.0739926"
Theft from Vehicle,33XX FLAGSTAFF PL,Killarney,497835.3,5450942.0,49.21127,-123.02972,14,0,2006,10,14,10/14/2006,Night,October,"49.21126549, -123.0297214"
Theft of Vehicle,57XX WALES ST,Victoria-Fraserview,496244.0,5453328.3,49.23272,-123.05159,18,0,2011,12,3,12/03/2011,Night,December,"49.23272284, -123.051593"
Theft of Vehicle,14XX PENNYFARTHING DR,Fairview,489712.6,5457654.3,49.27156,-123.14142,11,0,1999,2,3,02/03/1999,Night,February,"49.27156115, -123.1414198"
Break and Enter Commercial,15XX CLARK DR,Grandview-Woodland,494377.8,5457568.7,49.27085,-123.07729,23,50,2007,7,25,07/25/2007,Evening,July,"49.27085203, -123.077286"
Theft from Vehicle,37XX W 6TH AVE,West Point Grey,486402.1,5457144.0,49.26691,-123.18691,19,0,2006,11,20,11/20/2006,Night,November,"49.26690671, -123.1869109"
Break and Enter Commercial,8XX W 8TH AV,Fairview,491086.3,5456834.4,49.26421,-123.12252,17,30,1999,7,14,07/14/1999,Evening,July,"49.26420811, -123.1225166"
Break and Enter Residential/Other,2XX UNION ST,Strathcona,492804.9,5458332.6,49.27771,-123.09892,16,30,2001,11,11,11/11/2001,Evening,November,"49.2777066, -123.0989222"
Theft from Vehicle,2XX E 39TH AVE,Riley Park,492610.0,5453627.2,49.23538,-123.10152,20,0,2000,9,11,09/11/2000,Night,September,"49.23537817, -123.101515"
Theft from Vehicle,6XX E 48TH AVE,Sunset,493298.8,5452648.9,49.22659,-123.09204,22,0,2010,11,3,11/03/2010,Night,November,"49.22658605, -123.0920362"
Theft from Vehicle,1XX E 62ND AVE,Sunset,492542.9,5451271.2,49.21418,-123.10239,7,0,2001,6,22,06/22/2001,Night,June,"49.21418491, -123.1023931"
Other Theft,5XX BURRARD ST,Central Business District,491323.8,5459224.8,49.28571,-123.11931,10,26,2011,12,3,12/03/2011,Evening,December,"49.28571357, -123.1193051"
Theft of Vehicle,4XX JACKSON AVE,Strathcona,493209.5,5458719.1,49.28119,-123.09337,22,0,2000,12,13,12/13/2000,Night,December,"49.28118795, -123.0933666"
Break and Enter Residential/Other,15XX E 1ST AVE,Grandview-Woodland,494730.0,5457435.0,49.26965,-123.07244,20,30,1999,5,31,05/31/1999,Evening,May,"49.26965242, -123.0724434"
Theft from Vehicle,18XX W 7TH AVE,Kitsilano,489321.0,5456974.0,49.26544,-123.14678,19,30,2000,10,6,10/06/2000,Evening,October,"49.26543538, -123.1467848"
Mischief,21XX W 48TH AVE,Kerrisdale,488656.5,5452822.5,49.22808,-123.15580,18,0,2001,11,27,11/27/2001,Night,November,"49.22807941, -123.1557997"
Mischief,6XX HAWKS AVE,Strathcona,493658.7,5458480.9,49.27905,-123.08719,6,0,2009,5,18,05/18/2009,Night,May,"49.27905031, -123.0871861"
Break and Enter Residential/Other,7XX E 11TH AVE,Mount Pleasant,493572.0,5456435.9,49.26065,-123.08835,18,17,2004,2,13,02/13/2004,Afternoon,February,"49.26065407, -123.0883457"
Mischief,19XX E 55TH AVE,Victoria-Fraserview,495125.6,5451956.5,49.22038,-123.06694,19,34,2005,5,4,05/04/2005,Evening,May,"49.22037572, -123.066938"
Theft from Vehicle,16XX BAYSHORE DR,Central Business District,490546.6,5459904.3,49.29181,-123.13001,23,0,2002,12,6,12/06/2002,Night,December,"49.29181379, -123.1300072"
Mischief,22XX E 39TH AVE,Kensington-Cedar Cottage,495543.5,5453574.9,49.23494,-123.06122,0,0,2011,6,1,06/01/2011,Night,June,"49.23493655, -123.0612172"
Vehicle Collision or Pedestrian Struck (with Injury),10XX BLOCK MAIN ST,Strathcona,492765.0,5458125.0,49.27584,-123.09947,1,35,1999,5,17,05/17/1999,Evening,May,"49.27583909, -123.0994669"
Theft of Bicycle,CAMBIE ST / WATER ST,Central Business District,492085.8,5459067.7,49.28431,-123.10882,17,30,2006,6,26,06/26/2006,Evening,June,"49.28431078, -123.1088229"
Break and Enter Residential/Other,21XX NANAIMO ST,Hastings-Sunrise,495887.7,5456956.7,49.26536,-123.05652,3,0,2003,3,6,03/06/2003,Night,March,"49.26535909, -123.0565237"
Break and Enter Residential/Other,50XX ROSS ST,Kensington-Cedar Cottage,493995.7,5453960.9,49.23840,-123.08249,5,22,2001,4,19,04/19/2001,Evening,April,"49.23839549, -123.0824855"
Theft from Vehicle,JERVIS ST / ROBSON ST,West End,490652.6,5459369.1,49.28700,-123.12854,10,0,1999,8,15,08/15/1999,Night,August,"49.2870014, -123.128537"
